"yob","sex","state","race","educ","ideo","pid_1","pid_2r","pid_2d","pid_2i","biden_approval","trump_approval","screener_2","screener_4","policy_educ","policy_tax","policy_immi","policy_mari","statement_1","statement_2","statement_3","statement_4","statement_5","statement_6","statement_7","statement_8","statement_9","statement_10","statement_11","statement_12","statement_13","statement_14","statement_15","statement_16","statement_17","statement_18","statement_19","statement_20","statement_21","statement_22","statement_23","statement_24","statement_25","statement_timer_First.Click","statement_timer_Last.Click","statement_timer_Page.Submit","statement_timer_Click.Count"
32,2,10,"2",4,6,2,NA,1,NA,1,4,3,1,1,2,4,1,NA,NA,99,30,25,NA,NA,NA,99,NA,100,NA,96,96,100,11,18,21,NA,25,96,NA,26,NA,24,2.456,184.288,186.014,35
45,2,29,"1",3,4,3,NA,NA,2,2,4,3,2,1,3,2,1,20,NA,63,84,NA,NA,56,NA,53,NA,NA,100,42,75,NA,NA,59,62,NA,49,NA,23,62,63,28,5.256,232.497,234.003,56
10,2,48,"1",2,6,1,1,NA,NA,4,2,3,2,1,3,2,1,89,12,NA,23,10,NA,NA,36,89,46,NA,74,NA,82,NA,NA,10,11,10,NA,NA,50,0,NA,48,2.881,136.167,136.743,42
10,1,22,"2",2,1,1,1,NA,NA,4,4,3,2,1,3,1,2,NA,NA,20,38,76,NA,36,70,NA,21,NA,76,46,57,85,43,NA,75,NA,NA,34,NA,NA,49,82,1.449,36.171,71.924,28
57,1,33,"1",4,4,3,NA,NA,3,4,1,3,2,1,4,4,4,100,100,100,100,NA,NA,60,100,NA,100,NA,NA,100,NA,0,NA,100,NA,NA,65,85,NA,0,80,0,22.393,166.289,168.946,21
45,1,11,"2",4,5,3,NA,NA,1,3,2,3,2,1,2,1,1,NA,99,92,69,NA,100,NA,88,NA,NA,11,NA,91,84,14,NA,9,10,NA,99,NA,14,NA,65,7,29.5,144.55,145.684,23
53,1,14,"1",3,2,2,NA,1,NA,1,4,3,2,1,1,1,3,NA,NA,100,89,12,99,1,87,100,NA,NA,96,NA,100,NA,100,99,NA,11,NA,91,91,11,NA,NA,27.577,194.739,196.363,31
17,2,45,"1",2,4,3,NA,NA,3,4,2,3,3,1,1,4,4,21,17,19,12,13,NA,NA,NA,8,24,19,NA,19,NA,NA,NA,14,19,28,NA,24,NA,21,NA,22,6.354,134.978,135.55,34
17,2,44,"1",1,4,1,1,NA,NA,4,1,1,2,1,1,1,1,96,NA,NA,21,62,68,NA,83,NA,100,100,50,NA,100,7,NA,74,10,NA,NA,NA,60,14,76,NA,3.575,84.553,87.345,31
54,1,51,"1",3,5,3,NA,NA,2,1,4,3,1,1,1,3,2,95,NA,NA,100,79,NA,50,NA,100,NA,NA,100,100,100,100,50,NA,NA,NA,NA,100,20,0,50,0,11.519,311.674,312.585,51
45,2,17,"1",4,6,1,1,NA,NA,4,1,3,2,2,3,3,3,100,84,NA,NA,0,NA,70,100,100,89,100,80,92,100,96,NA,NA,0,NA,90,NA,NA,NA,NA,14,124.084,368.881,369.546,77
54,2,36,"1",2,5,2,NA,2,NA,4,1,3,2,2,4,3,1,72,NA,NA,78,NA,NA,NA,59,52,NA,76,85,98,84,51,NA,NA,NA,41,40,65,59,56,76,NA,28.213,259.104,263.518,31
44,2,37,"1",3,4,3,NA,NA,1,4,2,3,2,1,3,2,1,NA,97,95,96,98,9,20,NA,94,90,93,NA,NA,NA,NA,NA,85,13,NA,13,80,NA,18,NA,13,15.167,258.029,259.553,58
