yob	sex	state	race	educ	ideo	pid_1	pid_2r	pid_2d	pid_2i	biden_approval	trump_approval	screener_2	screener_4	policy_educ	policy_tax	policy_immi	policy_mari	statement_1	statement_2	statement_3	statement_4	statement_5	statement_6	statement_7	statement_8	statement_9	statement_10	statement_11	statement_12	statement_13	statement_14	statement_15	statement_16	statement_17	statement_18	statement_19	statement_20	statement_21	statement_22	statement_23	statement_24	statement_25	statement_timer_First.Click	statement_timer_Last.Click	statement_timer_Page.Submit	statement_timer_Click.Count
7	1	10	"3"	4	7	4			3	4	1	1	1	4	1	1	4	83	40	58		38			24	38	40	35		30	34	32		36		28				31		52	61.598	90.998	91.598	36
18	2	33	"3"	2	1	2		1		1	3	2	3	2	2	2	2			66			87	67	57	57	65	74		69			56				48	53	56	92	67	59	0.972	58.811	61.077	74
7	1	15	"1"	5	4	3			2	2	2	3	1	2	2	2	2		54	46	34	56		32	39				60		45			38	37	50	43		36	52	49		1.234	56.305	61.066	32
7	2	23	"1"	2	2	2		1		2	1	3	1	1	1	2	2	55			59		49			64		52			40	69		75	60		34	81	52	71	72	67	1.581	38.836	63.242	47
43	2	1	"1"	5	5	2		2		2	4	3	2	3	2	3	3		29	14	26	0				18		27		28	97	12		45	27	16		63	78	16			11.677	84.525	86.634	25
34	2	25	"1"	1	4	4			3	4	1	3	1	2	1	1	3			38	30	63		21		4	18	29		18	46	55				37			18	26	32	84	2.061	65.034	65.997	45
27	1	31	"1"	2	4	3			1	4	2	3	2	2	1	3	1	25		67					12	39	39	39	12		56	57	78	64	33			57	10			44	6.973	48.205	64.738	25
26	1	42	"1"	6	1	2		1		1	1	1	1	1	1	2	1	100	100		100	100	100	100					100	100				100	100	100	100		100	100	100		2.166	48.332	66.18	22
5	2	10	"1"	2	4	3			3	4	1	3	3	2	2	3	2	36	96		41	69	38	97		87	26		42	55		33		59	61		53				49		0.826	59.867	60.811	56
22	2	37	"1"	1	4	3			3	3	3	3	2	1	1	2	1		55			48	42			41	67	43	47		32	36	76		19		47		50	34	35		21.401	60.447	61.381	28
7	2	18	"1"	2	4	1	2			2	1	3	1	2	1	3	2	77		16			73	73	25					49	38	85	56	29	62	37	33	73				85	1.782	42.042	75.355	36
34	2	3	"3"	3	4	1	2			3	2	3	2	2	1	1	3	93	87			57			75		82				69	97		76	87		90	97	82	83	78	96	2.561	48.591	74.602	26
23	1	33	"1"	6	7	1	1			3	1	3	1	1	2	4	2	40		53	88	56	56				60		52		53		47		55	49	69		28		55	51	1.39	64.568	65.721	59
7	2	33	"1"	4	3	1	2			2	3	2	2	1	1	2	3	81	48	19	28			62	35			52	46	45	65	61	46				34	67	68				8.386	61.112	61.987	61
43	1	5	"1,3"	2	6	1	1			1	4	3	2	2	3	1	2			100	100		100	100	100	100		100		100	100	0			100		100		0	0		0	5.857	88.863	89.807	33
23	2	3	"3"	4	4	2		2		2	2	3	1	2	3	1	1	28		76	36		36	47		38		39		24	24	33	29	43			34			46		51	0.962	33.514	65.792	50
13	2	5	"1,3,4"	3	4	3			1	3	2	3	2	2	2	2	3		57				54	56	51	53	55		54	55			57	52	45	51		55			55	54	1.165	61.232	62.176	32
16	1	5	"4"	4	4	3			3	3	3	3	2	2	3	2	3			50		50				50	50	50	50	50	50	50		50			50	50	50		50	50	13.346	70.952	71.896	38
13	2	48	"2"	2	4	2		2		2	4	3	2	1	1	2	1		36	14	22	33	21		47	28	19	23			23			23				26	38	24		22	13.85	61.562	62.196	39
15	2	48	"2"	3	4	3			3	4	4	2	2	4	4	4	4				13		7		7	8		9	9	10	10	14	9		12	11		11	10		11		1.349	30.553	62.345	37
34	1	33	"1"	2	4	2		2		2	4	3	2	2	1	1	3		72		91	80	89	90				92	100	99	92	80		91	69		94		92		96		12.916	91.715	92.833	16
7	2	17	"1"	2	4	3			3	3	2	3	1	3	3	2	2			49	33		50	56	40	40			40	47	27		40		26	37			39		55	61	1.551	50.855	64.508	42
1	1	6	"1"	1	4	4			3	4	4	3	3	3	2	3	2	79		94	87	28			92	69	79		51	60		98				48	45	94	40			49	0.992	60.611	63.73	46
5	2	39	"1"	2	5	2		2		3	2	3	2	2	2	3	2	87		45	87		88			74	67		45	83	53	38		89				44	56	68		46	1.752	61.017	62.734	37
11	2	11	"1"	2	1	3			1	1	1	1	1	2	1	3	1	27		23	21	77		57	34	24	62	24			11					23			26	24	39	17	2.041	61.12	61.505	35
39	2	18	"1"	1	4	3			3	3	4	3	3	1	4	3	4	50	50	50			50		50	50		50	50			50	50		50				50	50	50	50	35.548	137.697	138.336	33
43	1	45	"1"	2	4	1	1			4	1	3	2	2	1	2	3	65		31				46		41		53	37	62		33		52	56	65	49	57			62	17	1.639	89.815	126.995	48
